"abstract","web_url","snippet","lead_paragraph","print_section","print_page","source","pub_date","document_type","news_desk","section_name","type_of_material","_id","word_count","uri","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"When it comes to culture, Donald J. Trump is pretty much a blank slate. Though most of us can probably guess what his favorite TV show was.","https://www.nytimes.com/2016/11/19/arts/design/trump-and-the-arts-evita-huge-towers-and-a-snub-for-warhol.html","When it comes to culture, Donald J. Trump is pretty much a blank slate. Though most of us can probably guess what his favorite TV show was.","For the arts world, the question is essentially the same as the one being asked everywhere right now, across the political spectrum: “What will a President Donald J. Trump mean for me?” The answer from artists, museums, theaters, actors, writers, musicians and the movie and television industry is, to a rare degree in previous presidential elections: “Your guess is as good as mine.”","C","1","The New York Times","2016-11-18T17:21:57+0000","article","Culture","Arts","News","nyt://article/afbc5181-dfe5-5c4a-8794-6d8722e72970",1597,"nyt://article/afbc5181-dfe5-5c4a-8794-6d8722e72970","Art & Design","Trump and the Arts: ‘Evita,’ Huge Towers and a Snub for Warhol",NA,NA,"Trump and the Art World: ‘Evita,’ Huge Towers, a Snub for Warhol",NA,NA,NA,"By Randy Kennedy",NA
"Stock prices of the companies rose sharply after the election, perhaps because of an expectation of less regulation.","https://www.nytimes.com/2016/11/19/upshot/with-trump-investors-see-profits-again-in-for-profit-colleges.html","Stock prices of the companies rose sharply after the election, perhaps because of an expectation of less regulation.","It hasn’t been a good couple of years for for-profit colleges. Many of them, usually offering vocational training, have had to close outlets as the federal government cracked down on their advertising and student loan practices. Two of the largest, ITT Technical Institute and Corinthian Colleges, shut down.",NA,NA,"The New York Times","2016-11-18T17:27:51+0000","article","Upshot","The Upshot","News","nyt://article/7fb53fc0-90bf-5997-bc9c-ceec7eea8989",744,"nyt://article/7fb53fc0-90bf-5997-bc9c-ceec7eea8989",NA,"With Trump, Investors See Profits Again in For-Profit Colleges","Cost of College",NA,"",NA,NA,NA,"By Susan Dynarski",NA
"He’s hired.","https://www.nytimes.com/2016/11/18/opinion/the-trump-transition.html","He’s hired.","He’s hired.",NA,NA,"The New York Times","2016-11-18T17:40:27+0000","article","OpEd","Opinion","Op-Ed","nyt://article/b334cd26-d034-5b1d-a99b-2aa8d6f213db",2,"nyt://article/b334cd26-d034-5b1d-a99b-2aa8d6f213db",NA,"The Trump Transition","Op-Ed Columnist",NA,"",NA,NA,NA,"By Patrick Chappatte",NA
"Candidates have long promised to move the U.S. Embassy to Jerusalem, only to change course after being elected. Now Israel is waiting to see what President-elect Trump will do.","https://www.nytimes.com/2016/11/19/world/middleeast/jerusalem-us-embassy-trump.html","Candidates have long promised to move the U.S. Embassy to Jerusalem, only to change course after being elected. Now Israel is waiting to see what President-elect Trump will do.","JERUSALEM — America’s top diplomat in Jerusalem lives in an elegant three-story stone house first built by a German Lutheran missionary in 1868, a short walk from the historic Old City. But he is not an ambassador and the mission is a consulate, not an embassy.","A","17","The New York Times","2016-11-18T18:44:00+0000","article","Foreign","World","News","nyt://article/f9e6b862-bb79-5cf6-b719-729aebe80f70",1307,"nyt://article/f9e6b862-bb79-5cf6-b719-729aebe80f70","Middle East","An Embassy in Jerusalem? Trump Promises, but So Did Predecessors","Memo from Jerusalem",NA,"Trump Is Latest to Promise an Embassy in Jerusalem",NA,NA,NA,"By Peter Baker",NA
"The Kentucky factory already operates around the clock at full capacity, and Lincoln MKCs are only a small portion of the vehicles made there.","https://www.nytimes.com/2016/11/19/business/ford-move-cited-as-victory-by-trump-has-no-effect-on-us-jobs.html","The Kentucky factory already operates around the clock at full capacity, and Lincoln MKCs are only a small portion of the vehicles made there.","Judging from a couple of Twitter messages by President-elect Donald J. Trump, he had scored a hard-won victory for American autoworkers by persuading Ford Motor to keep a Lincoln plant in Louisville, Ky., rather than move it to Mexico.","B","1","The New York Times","2016-11-18T19:54:06+0000","article","Business","Business Day","News","nyt://article/29dbdd87-1fd6-5616-b15c-5fbe54ab2fb0",997,"nyt://article/29dbdd87-1fd6-5616-b15c-5fbe54ab2fb0",NA,"Ford Move, Cited as Victory by Trump, Has No Effect on U.S. Jobs",NA,NA,"Trump Claims Victory  Over Ford Production Plan",NA,NA,NA,"By Neal E. Boudette",NA
"We predicted a Trump victory would be bad for stocks, but we still lack a method for forecasting a failure of imagination.","https://www.nytimes.com/2016/11/19/upshot/markets-sent-a-strong-signal-on-trump-then-changed-their-minds.html","We predicted a Trump victory would be bad for stocks, but we still lack a method for forecasting a failure of imagination.","The stock market’s turbulent response to the election of Donald J. Trump — first down, then up — presents an interesting quandary: Was the election result good or bad for investors?",NA,NA,"The New York Times","2016-11-18T20:17:45+0000","article","Upshot","The Upshot","News","nyt://article/4e987fae-0984-51c4-9d32-dcda57b21205",1369,"nyt://article/4e987fae-0984-51c4-9d32-dcda57b21205",NA,"Markets Sent a Strong Signal on Trump ... Then Changed Their Minds","Economic Trends",NA,"",NA,NA,NA,"By Justin Wolfers",NA
"Ms. Trump’s attendance at the meeting again raised the issue of potential conflicts of interest between Donald J. Trump’s politics and his family’s business ventures.","https://www.nytimes.com/2016/11/19/us/politics/ivanka-trump-shinzo-abe.html","Ms. Trump’s attendance at the meeting again raised the issue of potential conflicts of interest between Donald J. Trump’s politics and his family’s business ventures.","WASHINGTON — The potential for conflicts of interest between President-elect Donald J. Trump and his family’s business ventures emerged again Thursday evening, when a photograph was distributed that showed his daughter Ivanka at a meeting between Mr. Trump and the prime minister of Japan.","A","18","The New York Times","2016-11-18T20:19:01+0000","article","National","U.S.","News","nyt://article/5fe45088-7c48-5929-9e44-247a3b8d0efd",726,"nyt://article/5fe45088-7c48-5929-9e44-247a3b8d0efd","Politics","Ivanka Trump’s Presence at Meeting With Japan’s Leader Raises Questions",NA,NA,"Daughter’s Presence at Meeting Poses Questions",NA,NA,NA,"By Eric Lipton",NA
"Readers worry that the Trump presidency will be used to enrich the family’s businesses. One cites Ivanka’s promotion of a bracelet she wore on “60 Minutes.”","https://www.nytimes.com/2016/11/19/opinion/concerns-about-conflicts-and-nepotism-under-donald-trump.html","Readers worry that the Trump presidency will be used to enrich the family’s businesses. One cites Ivanka’s promotion of a bracelet she wore on “60 Minutes.”","To the Editor:","A","22","The New York Times","2016-11-18T20:26:34+0000","article","Letters","Opinion","Letter","nyt://article/48044476-1fc1-57a4-bb0b-5b36f5bb1f67",402,"nyt://article/48044476-1fc1-57a4-bb0b-5b36f5bb1f67",NA,"Concerns About Conflicts and Nepotism Under Donald Trump","Letters",NA,"Conflicts and Nepotism Under Trump?",NA,NA,NA,"",NA
"The police and the Secret Service have been discussing how to balance security for President-elect Donald J. Trump with the need to keep Midtown traffic flowing.","https://www.nytimes.com/2016/11/19/nyregion/fifth-avenue-in-front-of-trump-tower-will-stay-open-de-blasio-says.html","The police and the Secret Service have been discussing how to balance security for President-elect Donald J. Trump with the need to keep Midtown traffic flowing.","The stretch of Fifth Avenue in front of President-elect Donald J. Trump’s home in Trump Tower will remain open to vehicle traffic for the foreseeable future, Mayor Bill de Blasio of New York said on Friday.","A","10","The New York Times","2016-11-18T21:04:17+0000","article","Metro","New York","News","nyt://article/4215e943-9e1b-5710-8766-501d44d05af2",892,"nyt://article/4215e943-9e1b-5710-8766-501d44d05af2",NA,"Fifth Avenue in Front of Trump Tower Will Stay Open, de Blasio Says",NA,NA,"Fifth Ave. at Trump Tower  to Stay Open, Mayor Says",NA,NA,NA,"By Joseph Goldstein",NA
"There is hope in the Middle East that Donald J. Trump will be more forceful in combating extremists, but also fear that his efforts will be turned against him.","https://www.nytimes.com/2016/11/19/world/middleeast/trump-muslims-middle-east.html","There is hope in the Middle East that Donald J. Trump will be more forceful in combating extremists, but also fear that his efforts will be turned against him.","ERBIL, Iraq — Many Muslims in the Middle East reacted with a mix of fear, caution, suspicion and scorn on Friday to President-elect Donald J. Trump’s appointments of aides with hostile views toward Islam.","A","17","The New York Times","2016-11-18T21:20:50+0000","article","Foreign","World","News","nyt://article/f58ace4b-7caa-5f73-92ba-ce2c0e16da94",782,"nyt://article/f58ace4b-7caa-5f73-92ba-ce2c0e16da94","Middle East","Trump’s New Hard-Line Aides Worry Muslims, but Some See an Upside",NA,NA,"In the Mideast, Weighing  the Risks of Tough Talk",NA,NA,NA,"By Tim Arango, Falih Hassan and Anne Barnard",NA
"Former students said they were cheated out of thousands of dollars in tuition, and one of the cases was set to go before a jury in 10 days.","https://www.nytimes.com/2016/11/19/us/politics/trump-university.html","Former students said they were cheated out of thousands of dollars in tuition, and one of the cases was set to go before a jury in 10 days.","Donald J. Trump has reversed course and agreed on Friday to pay $25 million to settle a series of lawsuits stemming from his defunct for-profit education venture, Trump University, finally putting to rest fraud allegations by former students, which have dogged him for years and hampered his presidential campaign.","A","1","The New York Times","2016-11-18T21:32:16+0000","article","National","U.S.","News","nyt://article/2092ee1e-0dba-5856-afc5-f7df9c0b471b",1099,"nyt://article/2092ee1e-0dba-5856-afc5-f7df9c0b471b","Politics","Donald Trump Agrees to Pay $25 Million in Trump University Settlement",NA,NA,"Trump Settles University Suit for $25 Million",NA,NA,NA,"By Steve Eder",NA
"Reports of intimidation, slurs and attacks have rolled in since Election Day. Here’s how to report incidents and get help.","https://www.nytimes.com/2016/11/18/opinion/a-wave-of-harassment-after-trumps-victory.html","Reports of intimidation, slurs and attacks have rolled in since Election Day. Here’s how to report incidents and get help.","Hundreds of incidents of harassment and intimidation have been reported across the country since Election Day. Below are just a few:",NA,NA,"The New York Times","2016-11-18T21:36:04+0000","article","Editorial","Opinion","Editorial","nyt://article/a44f86c5-ab30-5fa1-9466-7f5ad5e8fa86",633,"nyt://article/a44f86c5-ab30-5fa1-9466-7f5ad5e8fa86",NA,"A Wave of Harassment After Trump’s Victory","Taking Note",NA,"",NA,NA,NA,"By Anna North",NA
"By selecting Jeff Sessions, Mike Pompeo and Michael T. Flynn, Mr. Trump moved to realize his campaign’s vision of relentlessly enforcing immigration laws and viewing Muslims with suspicion.","https://www.nytimes.com/2016/11/19/us/politics/flynn-sessions-trump-administration.html","By selecting Jeff Sessions, Mike Pompeo and Michael T. Flynn, Mr. Trump moved to realize his campaign’s vision of relentlessly enforcing immigration laws and viewing Muslims with suspicion.","WASHINGTON — President-elect Donald J. Trump’s trio of hard-line selections on Friday served notice that he intends not only to reverse eight years of liberal domestic policies but also to overturn decades of bipartisan consensus on the United States’ proper role in world affairs.","A","1","The New York Times","2016-11-18T21:59:53+0000","article","National","U.S.","News Analysis","nyt://article/622b4302-8e13-5a25-aeb1-c3e97b82c11a",1288,"nyt://article/622b4302-8e13-5a25-aeb1-c3e97b82c11a","Politics","With National Security Choices, Trump Builds Team to Bulldoze Status Quo","News Analysis",NA,"Strident Team of Like Minds",NA,NA,NA,"By Matt Apuzzo and Mark Landler",NA
